num;area;diff
100;0.945788;0.0012712
600;0.673516;0.271001
1100;0.633131;0.311386
1600;0.80607;0.138448
2100;0.736978;0.207539
2600;0.773827;0.17069
3100;0.740544;0.203973
3600;0.659186;0.285331
4100;0.696234;0.248283
4600;0.708407;0.23611
5100;0.689532;0.254985
5600;0.689381;0.255136
6100;0.732951;0.211566
6600;0.685241;0.259277
7100;0.7048;0.239717
7600;0.738756;0.205761
8100;0.710137;0.23438
8600;0.663851;0.280666
9100;0.710522;0.233995
9600;0.683368;0.261149
10100;0.757652;0.186865
10600;0.679735;0.264782
11100;0.701014;0.243503
11600;0.678952;0.265566
12100;0.669371;0.275146
12600;0.700811;0.243706
13100;0.687846;0.256671
13600;0.721986;0.222532
14100;0.725653;0.218864
14600;0.694324;0.250193
15100;0.692971;0.251546
15600;0.679579;0.264938
16100;0.700129;0.244388
16600;0.7096;0.234917
17100;0.672762;0.271755
17600;0.682961;0.261556
18100;0.700197;0.24432
18600;0.688771;0.255747
19100;0.708103;0.236414
19600;0.715483;0.229034
20100;0.712229;0.232288
20600;0.699533;0.244984
21100;0.680919;0.263598
21600;0.718099;0.226419
22100;0.681621;0.262896
22600;0.702683;0.241834
23100;0.69529;0.249227
23600;0.720271;0.224246
24100;0.703544;0.240973
24600;0.712662;0.231856
25100;0.71388;0.230637
25600;0.747294;0.197223
26100;0.728695;0.215822
26600;0.682674;0.261843
27100;0.678328;0.266189
27600;0.691273;0.253244
28100;0.722116;0.222401
28600;0.701976;0.242541
29100;0.695528;0.248989
29600;0.741875;0.202643
30100;0.720982;0.223536
30600;0.713697;0.230821
31100;0.67264;0.271877
31600;0.687574;0.256943
32100;0.696685;0.247832
32600;0.684681;0.259836
33100;0.684989;0.259528
33600;0.710109;0.234408
34100;0.720877;0.22364
34600;0.76165;0.182867
35100;0.710137;0.23438
35600;0.704994;0.239523
36100;0.698326;0.246191
36600;0.697478;0.247039
37100;0.703374;0.241144
37600;0.710027;0.23449
38100;0.688523;0.255994
38600;0.70923;0.235287
39100;0.707197;0.23732
39600;0.706302;0.238216
40100;0.729228;0.215289
40600;0.687634;0.256883
41100;0.705628;0.238889
41600;0.697767;0.24675
42100;0.709086;0.235431
42600;0.696525;0.247992
43100;0.690439;0.254078
43600;0.70165;0.242867
44100;0.704028;0.240489
44600;0.699027;0.24549
45100;0.720065;0.224452
45600;0.67559;0.268927
46100;0.712465;0.232052
46600;0.719581;0.224936
47100;0.71322;0.231297
47600;0.701935;0.242582
48100;0.723239;0.221278
48600;0.711022;0.233495
49100;0.703431;0.241086
49600;0.697034;0.247484
50100;0.705351;0.239166
50600;0.712995;0.231523
51100;0.703326;0.241191
51600;0.701343;0.243174
52100;0.70798;0.236537
52600;0.704356;0.240161
53100;0.691408;0.253109
53600;0.714474;0.230043
54100;0.704216;0.240301
54600;0.69698;0.247538
55100;0.708288;0.236229
55600;0.692331;0.252186
56100;0.71574;0.228777
56600;0.710025;0.234492
57100;0.710584;0.233934
57600;0.717103;0.227414
58100;0.696281;0.248236
58600;0.715724;0.228793
59100;0.709523;0.234994
59600;0.708908;0.235609
60100;0.697574;0.246943
60600;0.695366;0.249151
61100;0.708532;0.235985
61600;0.70306;0.241457
62100;0.720522;0.223996
62600;0.700757;0.24376
63100;0.700927;0.24359
63600;0.710828;0.233689
64100;0.703808;0.240709
64600;0.711937;0.232581
65100;0.722186;0.222332
65600;0.713929;0.230589
66100;0.718284;0.226233
66600;0.690041;0.254476
67100;0.692459;0.252058
67600;0.711631;0.232886
68100;0.694664;0.249853
68600;0.702761;0.241756
69100;0.701533;0.242984
69600;0.7149;0.229617
70100;0.707716;0.236801
70600;0.696736;0.247781
71100;0.715781;0.228736
71600;0.692409;0.252108
72100;0.697625;0.246892
72600;0.7049;0.239617
73100;0.70843;0.236087
73600;0.71308;0.231438
74100;0.70792;0.236597
74600;0.714355;0.230162
75100;0.697578;0.24694
75600;0.700357;0.244161
76100;0.70807;0.236447
76600;0.699856;0.244661
77100;0.710373;0.234144
77600;0.691392;0.253125
78100;0.694341;0.250176
78600;0.698676;0.245841
79100;0.709803;0.234714
79600;0.698648;0.245869
80100;0.70588;0.238638
80600;0.692433;0.252084
81100;0.718061;0.226456
81600;0.712186;0.232331
82100;0.691826;0.252691
82600;0.710955;0.233562
83100;0.704504;0.240013
83600;0.715512;0.229005
84100;0.718006;0.226511
84600;0.680224;0.264293
85100;0.700374;0.244143
85600;0.693873;0.250644
86100;0.704922;0.239595
86600;0.701945;0.242573
87100;0.696039;0.248478
87600;0.703747;0.240771
88100;0.703949;0.240568
88600;0.7025;0.242017
89100;0.702321;0.242196
89600;0.709341;0.235176
90100;0.701206;0.243311
90600;0.711571;0.232946
91100;0.695208;0.249309
91600;0.724454;0.220064
92100;0.703997;0.240521
92600;0.70066;0.243858
93100;0.699483;0.245035
93600;0.702911;0.241606
94100;0.706303;0.238214
94600;0.70666;0.237857
95100;0.707827;0.23669
95600;0.713568;0.230949
96100;0.698583;0.245935
96600;0.710721;0.233796
97100;0.700774;0.243743
97600;0.69921;0.245307
98100;0.704411;0.240106
98600;0.712524;0.231993
99100;0.7006;0.243917
99600;0.704939;0.239579
