S, Area, Area_dff
1, 0.948365, 0.00384801
1.1, 1.14907, 0.204558
1.2, 1.35953, 0.415011
1.3, 1.59912, 0.654605
1.4, 1.84919, 0.904675
1.5, 2.12897, 1.18445
1.6, 2.40437, 1.45985
1.7, 2.73032, 1.78581
1.8, 3.06303, 2.11852
1.9, 3.41093, 2.46641
2, 3.77157, 2.82705
2.1, 4.16325, 3.21874
2.2, 4.58769, 3.64317
2.3, 5.02678, 4.08226
2.4, 5.44629, 4.50177
2.5, 5.8822, 4.93768
2.6, 6.39347, 5.44895
2.7, 6.87666, 5.93214
2.8, 7.4396, 6.49509
2.9, 7.94681, 7.00229
3, 8.49084, 7.54632
3.1, 9.05371, 8.1092
3.2, 9.68816, 8.74365
3.3, 10.3252, 9.38064
3.4, 10.8998, 9.95531
3.5, 11.5815, 10.637
3.6, 12.2403, 11.2958
3.7, 12.9373, 11.9928
3.8, 13.6759, 12.7313
3.9, 14.3257, 13.3812
4, 15.1017, 14.1571
4.1, 15.9571, 15.0125
4.2, 16.6498, 15.7052
4.3, 17.4148, 16.4703
4.4, 18.2583, 17.3138
4.5, 19.2487, 18.3042
4.6, 19.9997, 19.0552
4.7, 20.8566, 19.9121
4.8, 21.8156, 20.8711
4.9, 22.6386, 21.6941
5, 23.6559, 22.7114
5.1, 24.5168, 23.5723
5.2, 25.464, 24.5195
5.3, 26.6166, 25.6721
5.4, 27.5738, 26.6293
5.5, 28.5245, 27.58
5.6, 29.5389, 28.5944
5.7, 30.771, 29.8265
5.8, 31.7882, 30.8437
5.9, 33.1446, 32.2001
6, 34.0354, 33.0909
6.1, 35.1038, 34.1593
6.2, 36.2298, 35.2853
6.3, 37.6043, 36.6598
6.4, 38.7869, 37.8424
6.5, 39.7291, 38.7846
6.6, 41.2388, 40.2943
6.7, 42.2138, 41.2693
6.8, 43.6389, 42.6944
6.9, 45.029, 44.0845
7, 46.4108, 45.4663
7.1, 47.4841, 46.5396
7.2, 48.6598, 47.7152
7.3, 50.1757, 49.2312
7.4, 51.8553, 50.9108
7.5, 52.8534, 51.9088
7.6, 54.6827, 53.7382
7.7, 55.7749, 54.8304
7.8, 57.2585, 56.3139
7.9, 59.0479, 58.1034
8, 60.4378, 59.4933
8.1, 61.6577, 60.7132
8.2, 63.4007, 62.4562
8.3, 65.1065, 64.162
8.4, 66.4845, 65.54
8.5, 68.4632, 67.5187
8.6, 69.9779, 69.0333
8.7, 71.5132, 70.5687
8.8, 73.4723, 72.5278
8.9, 74.9606, 74.0161
9, 76.3947, 75.4502
9.1, 78.2491, 77.3046
9.2, 79.7973, 78.8528
9.3, 81.5608, 80.6163
9.4, 83.0218, 82.0773
9.5, 85.4189, 84.4743
9.6, 86.7204, 85.7759
9.7, 89.0817, 88.1371
9.8, 90.9689, 90.0244
9.9, 92.8511, 91.9066
