scale;area;area_diff
1;0.94678;0.0022633
1.1;0.938374;0.00614362
1.2;0.941786;0.00273154
1.3;0.944469;4.79414e-05
1.4;0.948139;0.00362168
1.5;0.944926;0.000408805
1.6;0.948831;0.00431351
1.7;0.936051;0.00846653
1.8;0.938314;0.00620351
1.9;0.936105;0.00841238
2;0.940247;0.00426997
2.1;0.936167;0.00834987
2.2;0.938468;0.00604951
2.3;0.936902;0.00761507
2.4;0.953168;0.00865036
2.5;0.946025;0.00150741
2.6;0.936073;0.00844388
2.7;0.935754;0.00876286
2.8;0.935848;0.00866905
2.9;0.940031;0.0044861
3;0.948754;0.0042369
3.1;0.932429;0.0120885
3.2;0.948258;0.00374107
3.3;0.956784;0.0122667
3.4;0.943047;0.00147039
3.5;0.938359;0.0061585
3.6;0.921304;0.0232134
3.7;0.95177;0.0072526
3.8;0.944949;0.00043204
3.9;0.958517;0.0140001
4;0.957747;0.0132299
4.1;0.966356;0.0218391
4.2;0.933981;0.0105365
4.3;0.92272;0.0217973
4.4;0.956913;0.0123961
4.5;0.942826;0.00169118
4.6;0.945491;0.000973758
4.7;0.963422;0.0189051
4.8;0.92892;0.0155974
4.9;0.958224;0.0137067
5;0.89711;0.0474071
5.1;0.955606;0.011089
5.2;0.955067;0.0105497
5.3;0.970579;0.0260617
5.4;0.933841;0.0106765
5.5;0.928457;0.0160605
5.6;0.932342;0.0121752
5.7;0.931507;0.0130101
5.8;0.961862;0.0173447
5.9;0.964857;0.0203398
6;0.949192;0.00467439
6.1;0.902955;0.0415625
6.2;0.904026;0.0404912
6.3;0.935739;0.00877861
6.4;0.939;0.00551752
6.5;0.907369;0.0371478
6.6;0.956255;0.0117373
6.7;0.961884;0.0173672
6.8;0.941811;0.00270665
6.9;0.924353;0.020164
7;0.930856;0.0136616
7.1;0.937548;0.00696952
7.2;0.926344;0.0181734
7.3;0.951218;0.00670087
7.4;0.946047;0.00152948
7.5;0.937882;0.00663488
7.6;0.946213;0.00169553
7.7;0.97243;0.0279125
7.8;0.946983;0.00246591
7.9;0.919846;0.0246713
8;0.936436;0.00808105
8.1;0.940857;0.00365991
8.2;0.964885;0.0203683
8.3;0.934312;0.0102049
8.4;0.989889;0.045372
8.5;0.942653;0.00186374
8.6;0.939797;0.00471991
8.7;0.939704;0.00481315
8.8;0.900447;0.0440701
8.9;0.965693;0.0211762
9;0.918217;0.0263003
9.1;0.921828;0.022689
9.2;0.931502;0.0130152
9.3;0.917386;0.0271307
9.4;0.94753;0.00301268
9.5;0.964288;0.0197704
9.6;0.974839;0.0303222
9.7;0.922989;0.0215286
9.8;0.969195;0.0246779
9.9;0.885213;0.0593042
